problem_id,category,expected,picked_answer,picked_correct,picked_score,majority_answer,majority_correct,majority_votes,any_correct,correct_count,solutions_with_answer,code_blocks_total,code_blocks_passed
tir_049901,number_theory,"(a=5,b=2)",,False,2.3,,False,0,False,0,0,1,1
tir_049902,number_theory,"(n=1,2,3)","1,2,3",False,1.190909090909091,"1,2,3",False,1,False,0,1,2,2
tir_049903,combinatorics,dfrac1+sqrt52,frac1+sqrt5,False,3.3,frac1+sqrt5,False,1,False,0,1,1,1
tir_049904,other,(frac2^2^n+1-22^2^n+1-1),frac1,False,1.0,frac1,False,1,False,0,1,0,0
tir_049905,number_theory,180,1348,False,3.0,1348,False,1,False,0,1,1,1
tir_049906,algebra,"(2n)solutions,whichcanbefoundusingdemoivre'stheorem.",x_k=left|aright|^1/(2n),False,3.0,x_k=left|aright|^1/(2n),False,1,False,0,1,1,1
tir_049907,number_theory,"((1,4),(1,-4),(-1,0),(-2,1),(-2,-1))",,False,0.0,,False,0,False,0,0,0,0
tir_049908,geometry,(frac(sqrt3-1)r2),fracsqrt3,False,3.0,fracsqrt3,False,1,False,0,1,1,1
tir_049909,other,(frac32),frac3,False,3.0,frac3,False,1,False,0,1,1,1
tir_049910,algebra,"(a_1=frac18),(a_2=frac12)",frac1,False,3.0,frac1,False,1,False,0,1,1,1
tir_049911,algebra,(x=frackpi2+fracpi4)or(x=frac2kpi3pmfracpi9),x=fracpi,False,1.65,x=fracpi,False,1,False,0,1,2,2
tir_049912,geometry,(r=frac1sqrt2[fracdsqrt3-1])and(h=frac(sqrt2-1)d(sqrt2)(sqrt3-1)),,False,0.0,,False,0,False,0,0,0,0
tir_049913,geometry,"(p=2left(7+sqrt73right)),(s=24sqrt6)",withinboxed.,False,1.3,withinboxed.,False,1,False,0,1,0,0
tir_049914,combinatorics,(frac117),frac1,False,3.0,frac1,False,1,False,0,1,1,1
tir_049915,algebra,"((p,q,n,m)in(13,5,1,2);(2,5,1,2);(5,13,2,1);(5,2,2,1))","(2,5,1,1)textand",False,3.0,"(2,5,1,1)textand",False,1,False,0,1,1,1
tir_049916,number_theory,4097,4097,True,3.0,4097,True,1,True,1,1,1,1
tir_049917,other,(frac12),,False,2.0,,False,0,False,0,0,3,3
tir_049918,combinatorics,(frac325),frac4,False,3.0,frac4,False,1,False,0,1,1,1
tir_049919,combinatorics,(frac421),frac2,False,1.0,frac2,False,1,False,0,1,0,0
tir_049920,algebra,(pequiv1mod4),"foranyoddprime(p),theuniquequadraticextensionof(mathbbq)containedin(mathbbr)is(mathbbq(sqrtp)).boxed",False,1.0,"foranyoddprime(p),theuniquequadraticextensionof(mathbbq)containedin(mathbbr)is(mathbbq(sqrtp)).boxed",False,1,False,0,1,0,0
tir_049921,other,(frac32log2),frac1,False,3.0,frac1,False,1,False,0,1,1,1
tir_049922,number_theory,"(7,3,1)","(5,1,3)",False,3.0,"(5,1,3)",False,1,False,0,1,2,2
tir_049923,algebra,"(-1,0)",2,False,1.0,2,False,1,False,0,1,0,0
tir_049924,number_theory,"((a,b)in(pm1,pm5),(pm14,pm5))","(1,5),(-1,5),(1,-5),(-1,-5)",False,3.0,"(1,5),(-1,5),(1,-5),(-1,-5)",False,1,False,0,1,1,1
tir_049925,algebra,(frac(-1)^n+2+1n+2),frac2,False,1.3,frac2,False,1,False,0,1,1,0
tir_049926,algebra,(0)or(2014^2),2014^2,False,-0.38,2014^2,False,1,False,0,1,0,0
tir_049927,number_theory,(nin2^k|kinmathbbn),,False,0.0,,False,0,False,0,0,0,0
tir_049928,geometry,(5+2sqrt2),8,False,1.0,8,False,1,False,0,1,0,0
tir_049929,number_theory,(x_n+1=x_n+2y_n)and(y_n+1=x_n+y_n),400,False,1.3,400,False,1,False,0,1,0,0
tir_049930,other,(x=y=z=fracsqrt22),x=1+sqrt2,False,3.0,x=1+sqrt2,False,1,False,0,1,1,1
tir_049931,other,(frac2547cdot515334),3922,False,0.7,3922,False,1,False,0,1,0,0
tir_049932,other,(frac17),frac1,False,0.725,frac1,False,1,False,0,1,0,0
tir_049933,algebra,-3,,False,2.3,,False,0,False,0,0,3,3
tir_049934,algebra,"((2,-4),(-2,-2),(1,-2),(1,-5),(-1,-1),(-1,-4))",,False,-6.91,,False,0,False,0,0,0,0
tir_049935,other,(-fracsqrtpi4(gamma+2ln2)),0,False,1.0,0,False,1,False,0,1,0,0
tir_049936,number_theory,"(a=9,b=15)","(1,7)",False,3.0,"(1,7)",False,1,False,0,1,1,1
tir_049937,other,"(x=1,y=2,z=1)",,False,1.3333333333333333,,False,0,False,0,0,3,2
